"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","특수학급","순회학급","학급수(계)","학생수(계)","학급당학생수"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000372","부리중학교","03","공립","N","","1","1","1","1","0","4(1)","38(2)","9.5"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000373","제원중학교","03","공립","N","","1","1","1","1","0","4(1)","41(4)","10.3"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000374","진산중학교","03","공립","N","","1","1","1","1","0","4(1)","33(3)","8.3"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000375","추부중학교","03","공립","N","","2","2","2","2","0","8(2)","102(11)","12.8"
"충청남도교육청","충청남도논산계룡교육지원청","충청남도 논산시","S120000420","가야곡중학교","03","공립","N","","1","1","1","1","0","4(1)","15(2)","3.8"
"충청남도교육청","충청남도논산계룡교육지원청","충청남도 논산시","S120000421","강경여자중학교","03","공립","N","","2","2","2","1","0","7(1)","111(4)","15.9"
"충청남도교육청","충청남도논산계룡교육지원청","충청남도 논산시","S120000422","강경중학교","03","공립","N","","1","2","1","1","0","5(1)","84(4)","16.8"
"충청남도교육청","충청남도논산계룡교육지원청","충청남도 논산시","S120000423","건양대학교병설건양중학교","03","사립","N","","2","2","2","0","0","6(0)","104(0)","17.3"
"충청남도교육청","충청남도논산계룡교육지원청","충청남도 논산시","S120000424","광석중학교","03","공립","N","","1","1","1","2","0","5(2)","50(12)","10"
"충청남도교육청","충청남도논산계룡교육지원청","충청남도 논산시","S120000425","기민중학교","03","사립","N","","4","4","3","0","0","11(0)","255(0)","23.2"
"충청남도교육청","충청남도논산계룡교육지원청","충청남도 논산시","S120000426","노성중학교","03","공립","N","","1","2","1","1","0","5(1)","64(3)","12.8"
"충청남도교육청","충청남도논산계룡교육지원청","충청남도 논산시","S120000427","논산대건중학교","03","사립","N","","3","4","4","0","0","11(0)","301(0)","27.4"
